designation	annee	km	prix
Audi a4 1.9 tdi 100 cv toute options etat neuf	2002	168000	7700
VelSatis 2.2 DCI GPS 3D 2006 Carminat	2006	171000	7300
Renault laguna 1.9 dci 120 cv initiale 2001	2001	194000	6700
Alfa Romeo GT Q2 2008	2008	37700	20200
VOLKSWAGEN PASSAT 2.0 TDI 140ch CONFORTLINE	2009	12500	19490
Peugeot 307 2.0 l hdi 110 cv serie xt clim 5 ptes	2004	128642	6700
Altea 2.0 tdi 140cv	2005	123500	9500
307 cc super occaz peu km	2005	8700	19500
Peugeot 407 -2.0 hdi -136 Cvhonda	2004	155000	8900
Citroen xsara 2.0 HDI	2003	92000	7500
