designation	annee	kilometrage	prix
Alfa Romeo 147 1.9 JTD	2006	86500	9990
Alfa Romeo 147 TI 150CV serie SPECIAL sport	2006	67000	13400
ALFA 147 DUCATI 170cv - Sous garantie	2009	25000	25000
Alfa 147	2001	89000	6000
Alfa Romeo 147 2.0 L Selespeed Twin Spark 3 portes	2001	148000	5600
Alfa Romeo 147 1.9JTD 16v 140cv	2004	95000	9900
Alfa Romeo GT 1.9 JTD 150 Cuir GPS Distinctive	2005	85000	12990
ALFA ROMEO GT coupe 150 CV DIESEL	2007	41095	15780
Alfa romeo 166 jtd 2.4 stronic 175 cv selective	2003	140000	9500
ALFA ROMEO 156 1.9 jtd SPORTWAGON 115cv	2001	39000	3300
Alfa romeo 156 1.9 jtd	2001	192000	4500
Alfa romeo 156 sw 1.9 jtd 115 cv an. 2004	2004	99300	9000
Alfa romeo 156 sw 1.9 jtd 115 cv an. 2004	2004	99300	9000
Alfa romeo 156 sw 1.9 jtd 115 cv an. 2004	2004	99300	9000
Alfa romeo 159 1.9 jtdm 150 cv distinctive	2006	53500	13700
Alfa romeo 159 1.9 jtdm 150 cv distinctive	2006	53500	13700
Alfa 156	2004	117000	9800
Alfa 156	2004	117000	9800
Alfa romeo 156 jtd	2003	84000	9000
Alfa 156	2000	164000	4000
ALFA ROMEO 166 2.0 TS 155 CV / Twin Spark	1998	120850	4800
Alfa Romeo GT Q2 2008	2008	37700	20200
Alfa Romeo GT Q2 2008	2008	44000	17900
Superbe Alpha Romeo GT 1.9L JTD 150 CV	2008	15000	18000
Audi a3 sportback 1.9 l tdi 105 cv ambition faceli	2008	26500	21900
Audi A3 Sportback 2.0 TDI 170 ch Quattro S Line	2006	124000	16800
Audi a3 sportback 2.0 tdi 140 cv 2005	2005	94500	13500
Audi A3 2L TDI 170CV S-Line	2007	46000	22750
Audi a 3 1.9 tdi	2002	169000	6000
AUDI A3 SPORTBACK 1&virgule	1995	2006	5000
AUDI A3 S-Line 2.0 TDI 140Ch	2006	63000	19000
Audi a3 2.0 tdi	2004	112700	12800
Audi A3 Sportback 2.0 TDI (140cv ) Ambition	2006	87000	14500
AUDI A3 Sportback ambition luxe	2005	112882	14850
Audi A3 Sportback 2.0 TDI (140cv ) Ambition	2006	87000	14500
AUDI A3 Sportback ambition luxe	2005	112882	14850
Audi A3 SPORBACK 1.9 tdi 105 S LINE	2006	88500	21000
Audi A3 2.0tdi 140cv noire metal	2004	132000	11900
Audi A3 SPORBACK 1.9 tdi 105 S LINE	2006	88500	21000
Audi A3 SPORBACK 1.9 tdi 105 S LINE	2006	88500	21000
Audi A3 AMBITION 2009	2009	23000	22600
Audi a3 sportback	2008	25000	20000
Audi A3 AMBITION 2009	2009	23000	22600
Audi a3 sportback	2008	25000	20000
Audi A3 sporback	2007	78000	17200
Audi A3 sporback	2007	78000	17200
Audi A3 ambition 1.9 tdi	2007	51000	16350
Audi a3 2.0 tdi 170ch s-line prix negociable	2007	91000	17800
Audi a3 tdi 130 cv	2001	203000	6850
Audi A3 Sportback 1.9 Tdi Noire modele Ambition	2006	62000	14900
Audi A3 Sportback 1.9 Tdi Noire modele Ambition	2006	62000	14900
Audi a3 tdi dpf 11/2006 - ETAT NEUF	2006	77000	15900
Audi a3 tdi 1.9 ambition 130 cv	2003	153000	9400
Audi a3 1.9 tdi 130cv ambiante	2003	128000	9900
A3 1.9l tdi 130 cv ambiente bv6	2002	109000	10000
Audi A3 sportback 1.9 TDI 105 cv ambition	2005	72000	14200
Audi A3 sportback 1.9 TDI 105 cv ambition	2005	72000	14200
AUDI A3 1.9 tdi	1997	216000	6000
AUDI A3 sportback 1.9 l 105 ambiente bv5	2008	46500	19500
Audi A3 sportback 1.9 TDI 105 cv ambition	2005	72000	14200
AUDI A3 1.9 tdi	1997	216000	6000
AUDI A3 sportback 1.9 l 105 ambiente bv5	2008	46500	19500
Audi A3 sportback 2.0 TDI 140cv DSG GPS	2005	85000	16500
Audi a3 sportback ambition 2.0 tdi 140 cv	2008	21000	22900
A3 2.0 dsg s-tronic tdi ambition luxe	2006	56000	21200
A3 2.0 TDI 140cv S-Line &virgule	2005	26000	25000
Audi A3 Cabriolet 2.0 TDI Ambition 140cv Ref:O13	2009	11450	26090
Audi A3 S-Line 2.0 TDI 170&virgule	2009	58200	21990
Audi A3 Ambition Luxe 2.0 TDI 140cv Ref:O10	2008	30500	24190
AUDI A3 - TDI 2.0 AMBITION 140CV. Decembre 2003	2003	87000	13500
AUDI A3 - TDI 2.0 AMBITION 140CV. Decembre 2003	2003	87000	13500
Audi A3 Cabriolet 1.9 TDI DPF / Cuir et G.P.S	2009	11300	28500
AUDI A3 1.9 TDI 105 cv excellent etat	2007	33000	19000
Audi a3 2.0 tdi ambition	2004	120000	11500
a Saisir Audi A3 TDI 140 Ambition Luxe	2006	78000	15800
AUDI A3 SPORTBACK 2.0 TDI 140 CV - 49 000 kms	2006	49000	17900
Audi A3 Ambition 2.0l tdi 140cv 6 Vitesses	2005	45000	19000
Audi A3 sportback	2007	34000	17500
Audi A3 S-LINE 2.0 TDI	2009	23800	27600
Audi a3 2.0 tdi 140 ch pack ambition	2004	145000	10500
Audi a3 tdi 2.0 ambition 140	2007	52000	17300
Audi A3 SPORTBACK 2&virgule	2008	135000	21960
Audi a3 1.9tdi 14.500km 3 portes noir brillant	2008	14500	22000
Audi a3 1.9 tdi ambiente	1999	246000	5400
A3 ambition facelift 2.0tdi 140cv jtes exc 03/2009	2009	9620	23970
Audi a3 2.0l tdi sportback s-line 2008 5800kms	2008	5800	24990
Audi A3 sportback 1.9l tdi	2006	75000	16500
Audi a3 facelift 1.9 tdi ambition dpf 105 ch	2008	33200	19200
Audi A3 TDI 140 CV	2006	140000	12000
Audi a3 sporback	2006	63000	16100
